GameID,PlayedID,PlayerName,TeamAbbreviation,Agent,ACS,Kills,Deaths,Assists,PlusMinus,KAST_Present,ADR,HS_Present,FirstKills,FirstDeaths,FKFD_PlusMinus,Num_2Ks,Num_3Ks,Num_4Ks,Num_5Ks,OnevOne,OnevTwo,OnevThree,OnevFour,OnevFive,Econ,Plants,Defuses
60718,5052,plat1num,YFP,sova,144,6,14,2,-8,0.6,108,0.35,1,1,0,0,0,0,0,0,0,0,0,0,44,1,0
60718,186,intox,YFP,skye,107,5,15,2,-10,0.53,70,0.07,0,2,-2,1,0,0,0,0,0,0,0,0,29,0,0
60718,3987,Pingfu,YFP,astra,91,5,13,0,-8,0.27,63,0.42,0,1,-1,1,0,0,0,1,0,0,0,0,26,2,0
60718,13064,Bape,YFP,jett,82,4,15,0,-11,0.33,56,0.5,2,4,-2,0,0,0,0,0,0,0,0,0,21,0,0
60720,4931,Add3r,PK.A,chamber,236,22,14,1,8,0.67,152,0.31,4,4,0,2,2,0,0,0,0,0,0,0,62,0,0
60720,19618,stare,PK.A,jett,235,21,15,5,6,0.63,148,0.33,3,1,2,2,2,0,0,0,0,0,0,0,59,0,2
60720,6572,pureVNS,PK.A,viper,224,18,17,12,1,0.88,152,0.37,4,1,3,1,2,0,0,0,0,0,0,0,61,4,0
60720,3012,riku,PK.A,sage,203,17,15,10,2,0.79,134,0.22,1,2,-1,4,1,0,0,0,0,0,0,0,55,5,0
60720,2161,leak,PK.A,sova,118,11,14,6,-3,0.63,80,0.36,2,2,0,4,0,0,0,0,0,0,0,0,36,2,0
60720,185,ZerG,TI,chamber,230,19,17,3,2,0.71,153,0.23,3,3,0,3,1,0,0,1,0,0,0,0,57,3,1
60720,754,nerve,TI,viper,222,19,16,5,3,0.5,138,0.27,1,1,0,3,2,1,0,2,0,0,0,0,67,4,0
60720,1861,eVoL,TI,sova,215,17,18,7,-1,0.79,140,0.35,1,1,0,3,1,0,0,0,0,0,0,0,54,1,1
60720,20337,syfi,TI,jett,128,11,18,3,-7,0.58,93,0.33,2,7,-5,1,0,0,0,0,0,0,0,0,35,0,0
60720,1021,Morgausse,TI,reyna,123,9,20,4,-11,0.46,87,0.1,3,2,1,2,0,0,0,0,0,0,0,0,30,2,0
60699,6464,poiz,C9A,jett,256,17,17,3,0,0.8,158,0.33,3,4,-1,3,0,1,0,0,0,0,0,0,58,0,1
60699,8286,GLYPH,C9A,astra,232,15,15,9,0,0.85,163,0.26,5,1,4,2,1,0,0,0,0,0,0,0,56,1,1
60699,3138,instinct,C9A,sova,226,17,12,9,5,0.8,173,0.28,0,2,-2,5,0,0,0,0,2,0,0,0,78,1,2
60699,2119,renz,C9A,kayo,225,17,14,10,3,0.75,132,0.24,1,4,-3,2,2,0,0,1,0,0,0,0,52,1,2
60699,21433,erkaSt,C9A,cypher,138,11,14,1,-3,0.6,98,0.23,0,0,0,2,1,0,0,1,0,0,0,0,39,1,0
60699,20957,stunna,Disc,jett,250,21,14,4,7,0.9,167,0.19,1,2,-1,1,3,0,0,0,0,0,0,0,70,1,1
60699,16027,Crown,Disc,chamber,244,17,14,4,3,0.85,168,0.17,6,0,6,5,0,0,0,0,0,0,0,0,60,1,0
60699,20959,toozy,Disc,astra,214,15,16,8,-1,0.75,146,0.33,1,2,-1,3,1,0,0,0,0,0,0,0,53,4,0
60699,20958,Shiro,Disc,sova,182,11,16,7,-5,0.8,127,0.16,2,0,2,2,0,0,0,0,0,0,0,0,52,1,1
60699,16028,Klamran,Disc,kayo,132,8,17,11,-9,0.65,104,0.19,1,5,-4,1,0,0,0,0,0,0,0,0,44,0,0
60702,8419,Reduxx,ex-FB,jett,418,22,8,5,14,0.86,248,0.3,5,1,4,3,0,3,0,0,0,0,0,0,102,0,0
60702,2450,Rustun,ex-FB,cypher,300,15,7,6,8,0.93,193,0.29,4,0,4,3,1,0,0,0,0,0,0,0,92,0,0
60702,865,Nurfed,ex-FB,viper,273,14,3,3,11,0.93,185,0.23,2,1,1,5,0,0,0,0,0,0,0,0,161,7,0
60702,21901,WhoFramedMe,ex-FB,sova,154,10,7,4,3,0.71,120,0.45,0,0,0,2,0,0,0,0,0,0,0,0,62,5,0
60702,21668,Verno,ex-FB,skye,144,8,3,7,5,1,104,0.28,1,0,1,1,0,0,0,0,0,0,0,0,66,0,1
60702,8976,zhan,Tras,cypher,162,7,14,3,-7,0.64,112,0.24,0,1,-1,0,0,0,0,0,0,0,0,0,43,0,0
60702,13798,Dykaz,Tras,viper,158,8,14,1,-6,0.5,91,0.07,1,6,-5,2,0,0,0,0,0,0,0,0,35,0,0
60702,18171,AGO,Tras,sova,141,5,13,5,-8,0.64,107,0.25,0,2,-2,0,0,0,0,1,0,0,0,0,42,2,0
60702,21598,Vorteez,Tras,jett,127,5,14,0,-9,0.29,86,0.31,1,3,-2,1,0,0,0,0,0,0,0,0,34,0,0
60702,21597,aru,Tras,skye,98,3,14,0,-11,0.14,89,0.22,0,0,0,1,0,0,0,0,0,0,0,0,35,0,0
60704,2161,leak,PK.A,sova,336,16,6,6,10,0.92,231,0.32,2,0,2,1,3,0,0,0,0,0,0,0,115,0,0
60704,4931,Add3r,PK.A,chamber,289,15,7,2,8,0.85,198,0.31,2,1,1,2,3,0,0,1,0,1,0,0,73,1,0
60704,3012,riku,PK.A,killjoy,266,12,7,6,5,0.92,161,0.17,2,0,2,3,1,0,0,0,0,0,0,0,69,0,0
60704,19618,stare,PK.A,jett,246,12,5,1,7,0.85,157,0.22,4,0,4,0,2,0,0,0,0,0,0,0,135,0,0
60704,6572,pureVNS,PK.A,astra,153,8,4,8,4,0.92,108,0.41,1,1,0,1,1,0,0,0,0,0,0,0,64,0,2
60704,5098,Joeyy,Hugh,skye,290,13,13,3,0,0.62,168,0.39,0,0,0,3,1,0,0,0,0,0,0,0,64,0,0
60704,7495,perseverance,Hugh,sova,194,8,12,3,-4,0.69,149,0.35,0,0,0,1,0,0,0,0,0,0,0,0,58,1,0
60704,3210,trunkZ,Hugh,jett,83,4,12,1,-8,0.23,55,0.27,2,3,-1,0,1,0,0,0,0,0,0,0,22,0,0
60704,14497,azez,Hugh,astra,66,2,13,2,-11,0.31,49,0.06,0,3,-3,0,0,0,0,0,0,0,0,0,19,1,0
60704,20343,mobi,Hugh,killjoy,65,2,13,0,-11,0.31,47,0.07,0,5,-5,0,0,0,0,0,0,0,0,0,18,0,0
60592,8496,gucc107,Akre,viper,280,23,18,9,5,0.71,182,0.28,1,1,0,4,3,0,0,0,0,0,0,0,63,4,0
60592,848,Kanpeki,Akre,chamber,261,21,19,3,2,0.75,165,0.2,3,5,-2,1,2,0,0,0,0,0,0,0,54,2,0
60592,2164,Paincakes,Akre,sova,178,17,14,4,3,0.71,124,0.56,1,3,-2,4,0,0,0,2,0,0,0,0,54,2,0
60592,619,C0M,Akre,skye,168,14,15,8,-1,0.75,107,0.24,2,0,2,3,1,0,0,0,1,0,0,0,42,0,0
60592,4387,Neon,Akre,jett,145,13,15,2,-2,0.54,79,0.21,1,7,-6,1,2,0,0,0,0,0,0,0,30,0,0
60592,8419,Reduxx,ex-FB,jett,311,26,13,4,13,0.71,194,0.3,7,2,5,5,2,2,0,2,0,0,0,0,81,0,2
60592,2450,Rustun,ex-FB,cypher,253,22,20,4,2,0.71,144,0.25,6,1,5,3,3,0,0,0,0,0,0,0,53,0,0
60592,15500,Habib,ex-FB,sova,163,12,19,8,-7,0.54,120,0.29,2,3,-1,4,0,0,0,0,0,0,0,0,47,0,0
60592,865,Nurfed,ex-FB,viper,155,13,18,5,-5,0.75,118,0.27,0,1,-1,3,0,0,0,0,0,0,0,0,49,2,0
60592,21668,Verno,ex-FB,skye,91,8,18,5,-10,0.58,63,0.06,1,1,0,1,0,0,0,1,0,0,0,0,24,1,1
